trial_number,response,answer,ACCURACY,gesture_presence,self-talk_presence,gesture_axis,ITEM_CODE,LIST,SUBJ,SPATIAL_FIRST,item_axis,DIFFICULTY_with_invalid,difficulty_indicator_without_invalid,correct_deSoto,correct_deSoto_without_invalid,trial_type,validity,comments,File,Begin Time - msec,Begin Time - PAL,End Time - msec,End Time - PAL,Duration - msec,Duration - PAL,GESTURE_PRESENT,SPATIAL_TRIAL,VERTICAL_TRIAL,deSoto_difficulty
1,"""can't tell""","""yes""",0,yes,no,sagittal,012,1,16,1,vertical,EASY,0,61.8,61.8,spatial,valid,NA,CGChains_16_2018-03-09_40-L1.eaf,12723,00:00:12:18,26748,00:00:26:18,14025,00:00:14:00,1,1,1,EASIEST
1,"""can't tell""","""yes""",0,no,NA,NA,022,7,22,0,horizonal,EASY,0,61.8,61.8,non-spatial,valid,NA,CGChains_22_2018-03-10_40-L7.eaf,6341,00:00:06:08,20487,00:00:20:12,14146,00:00:14:03,0,0,0,EASIEST
1,"""no""","""yes""",0,yes,NA,lateral,032,5,34,1,horizonal,EASY,0,61.8,61.8,spatial,valid,NA,CGChains_34_2018-04-03_40-L5.eaf,6285,00:00:06:07,19952,00:00:19:23,13667,00:00:13:16,1,1,0,EASIEST
1,"""no""","""yes""",0,no,NA,NA,004,4,33,0,vertical,HARD,1,41.5,41.5,non-spatial,valid,NA,CGChains_33_2018-04-02_40-L4.eaf,10280,00:00:10:07,24080,00:00:24:02,13800,00:00:13:20,0,0,1,HARD
1,"""no""","""yes""",0,no,NA,NA,014,2,24,1,vertical,HARD,1,41.5,41.5,spatial,valid,NA,CGChains_24_2018-03-11_40-L2.eaf,10864,00:00:10:21,24972,00:00:24:24,14108,00:00:14:02,0,1,1,HARD
1,"""no""","""yes""",0,yes,NA,lateral,024,8,23,0,horizonal,HARD,1,41.5,41.5,non-spatial,valid,NA,CGChains_23_2018-03-11_40-L8.eaf,11172,00:00:11:04,25103,00:00:25:02,13931,00:00:13:23,1,0,0,HARD
1,"""can't tell""","""yes""",0,no,NA,NA,024,8,30,0,horizonal,HARD,1,41.5,41.5,non-spatial,valid,NA,CGChains_30_2018-03-30_40-L8.eaf,8840,00:00:08:21,22760,00:00:22:19,13920,00:00:13:23,0,0,0,HARD
1,no response,"""yes""",0,yes,NA,lateral,024,8,37,0,horizonal,HARD,1,41.5,41.5,non-spatial,valid,NA,CGChains_37_2018-04-05_40-L8.eaf,11428,00:00:11:10,25523,00:00:25:13,14095,00:00:14:02,1,0,0,HARD
1,no response,"""yes""",0,yes,no,lateral,034,6,21,1,horizonal,HARD,1,41.5,41.5,spatial,valid,NA,CGChains_21_2018-03-10_40-L6.eaf,9671,00:00:09:16,23701,00:00:23:17,14030,00:00:14:00,1,1,0,HARD
1,"""no""","""yes""",0,yes,NA,lateral,034,6,28,1,horizonal,HARD,1,41.5,41.5,spatial,valid,NA,CGChains_28_2018-03-29_40-L6.eaf,7823,00:00:07:20,21764,00:00:21:19,13941,00:00:13:23,1,1,0,HARD
1,"""no""","""yes""",0,yes,NA,lateral,034,6,35,1,horizonal,HARD,1,41.5,41.5,spatial,valid,NA,CGChains_35_2018-04-03_40-L6.eaf,9238,00:00:09:05,23095,00:00:23:02,13857,00:00:13:21,1,1,0,HARD
2,no response,"""no""",0,no,no,NA,018,1,14,1,vertical,HARD,1,41.5,41.5,spatial,valid,NA,CGChains_14_2018-03-09_40-L1.eaf,26583,00:00:26:14,40627,00:00:40:15,14044,00:00:14:01,0,1,1,HARD
2,"""yes""","""no""",0,no,no,NA,018,1,15,1,vertical,HARD,1,41.5,41.5,spatial,valid,"those look less like fidgets and more like gestures, but going to be conservative and code no gesture",CGChains_15_2018-03-09_40-L1.eaf,27512,00:00:27:12,41567,00:00:41:14,14055,00:00:14:01,0,1,1,HARD
2,"""can't tell""","""no""",0,no,NA,NA,028,7,22,0,horizonal,HARD,1,41.5,41.5,non-spatial,valid,NA,CGChains_22_2018-03-10_40-L7.eaf,20560,00:00:20:14,34440,00:00:34:11,13880,00:00:13:22,0,0,0,HARD
2,no response,"""no""",0,yes,yes,lateral,038,5,20,1,horizonal,HARD,1,41.5,41.5,spatial,valid,NA,CGChains_20_2018-03-10_40-L5.eaf,18362,00:00:18:09,32362,00:00:32:09,14000,00:00:14:00,1,1,0,HARD
3,"""no""","""can't tell""",0,yes,NA,other/unclear,010,3,32,0,vertical,NA_H,NA,38.3,NA,non-spatial,INVALID,NA,CGChains_32_2018-04-02_40-L3.eaf,37523,00:00:37:13,51229,00:00:51:05,13706,00:00:13:17,1,0,1,NA
3,"""yes""","""can't tell""",0,no,NA,NA,010,4,33,0,vertical,NA_H,NA,38.3,NA,non-spatial,INVALID,NA,CGChains_33_2018-04-02_40-L4.eaf,38340,00:00:38:08,52140,00:00:52:03,13800,00:00:13:20,0,0,1,NA
3,"""yes""","""can't tell""",0,no,no,NA,020,1,14,1,vertical,NA_H,NA,38.3,NA,spatial,INVALID,NA,CGChains_14_2018-03-09_40-L1.eaf,40699,00:00:40:17,54788,00:00:54:19,14089,00:00:14:02,0,1,1,NA
3,"""no""","""can't tell""",0,yes,NA,lateral,030,8,23,0,horizonal,NA_H,NA,38.3,NA,non-spatial,valid,NA,CGChains_23_2018-03-11_40-L8.eaf,39245,00:00:39:06,53245,00:00:53:06,14000,00:00:14:00,1,0,0,NA
3,"""no""","""can't tell""",0,yes,NA,lateral,030,8,37,0,horizonal,NA_H,NA,38.3,NA,non-spatial,valid,NA,CGChains_37_2018-04-05_40-L8.eaf,39618,00:00:39:15,53618,00:00:53:15,14000,00:00:14:00,1,0,0,NA
3,"""no""","""can't tell""",0,yes,yes,lateral,040,6,21,1,horizonal,NA_H,NA,38.3,NA,spatial,valid,NA,CGChains_21_2018-03-10_40-L6.eaf,37936,00:00:37:23,52057,00:00:52:01,14121,00:00:14:03,1,1,0,NA
3,"""yes""","""can't tell""",0,yes,NA,lateral,040,5,34,1,horizonal,NA_H,NA,38.3,NA,spatial,valid,NA,CGChains_34_2018-04-03_40-L5.eaf,34238,00:00:34:05,48142,00:00:48:03,13904,00:00:13:22,1,1,0,NA
3,"""no""","""can't tell""",0,yes,NA,lateral,040,6,35,1,horizonal,NA_H,NA,38.3,NA,spatial,valid,NA,CGChains_35_2018-04-03_40-L6.eaf,37333,00:00:37:08,51285,00:00:51:07,13952,00:00:13:23,1,1,0,NA
